,username,country,country_code,year,country_year,index_measure,q1_macro_appointment_procedures_ind_measure,q1_micro_appointment_judges_ind_measure,q1_micro_appointment_court_presidents_ind_measure,q1_micro_appointment_veto_ind_measure,q1_macro_selection_criteria_ind_measure,q1_micro_selection_predetermined_law_ind_measure,q1_micro_selection_intl_standards_ind_measure,q1_micro_transparency_appeal_ind_measure,q1_macro_professional_rights_ind_measure,q1_micro_judge_tenure_ind_measure,q1_micro_judge_immunity_ind_measure,q1_micro_judge_salary_ind_measure,q1_macro_professional_obligations_ind_measure,q1_micro_disciplinary_proceedings_law_ind_measure,q1_micro_disciplinary_proceedings_actors_ind_measure,q1_micro_conflict_recusal_evaluation_ind_measure,q1_macro_judicial_administration_ind_measure,q1_micro_judicial_self_governance_bodies_ind_measure,q1_micro_judicial_self_governance_competences_ind_measure,q1_micro_courts_administration_ind_measure
0,ALB33wGG5n,Albania,ALA,2000,Albania_2000,0.52,0.55,0.33,0.33,1.0,0.5,0.67,0.75,0.08,0.42,0.5,0.75,0.0,0.65,0.62,0.67,0.67,0.5,0.5,0.0,1.0
1,ALB33wGG5n,Albania,ALA,2001,Albania_2001,0.52,0.55,0.33,0.33,1.0,0.5,0.67,0.75,0.08,0.42,0.5,0.75,0.0,0.65,0.62,0.67,0.67,0.5,0.5,0.0,1.0
2,ALB33wGG5n,Albania,ALA,2002,Albania_2002,0.52,0.55,0.33,0.33,1.0,0.5,0.67,0.75,0.08,0.42,0.5,0.75,0.0,0.65,0.62,0.67,0.67,0.5,0.5,0.0,1.0
3,ALB33wGG5n,Albania,ALA,2003,Albania_2003,0.52,0.55,0.33,0.33,1.0,0.5,0.67,0.75,0.08,0.42,0.5,0.75,0.0,0.65,0.62,0.67,0.67,0.5,0.5,0.0,1.0
4,ALB33wGG5n,Albania,ALA,2004,Albania_2004,0.55,0.55,0.33,0.33,1.0,0.5,0.67,0.75,0.08,0.42,0.5,0.75,0.0,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
5,ALB33wGG5n,Albania,ALA,2005,Albania_2005,0.55,0.55,0.33,0.33,1.0,0.5,0.67,0.75,0.08,0.42,0.5,0.75,0.0,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
6,ALB33wGG5n,Albania,ALA,2006,Albania_2006,0.55,0.55,0.33,0.33,1.0,0.5,0.67,0.75,0.08,0.42,0.5,0.75,0.0,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
7,ALB33wGG5n,Albania,ALA,2007,Albania_2007,0.53,0.55,0.33,0.33,1.0,0.42,0.67,0.5,0.08,0.42,0.5,0.75,0.0,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
8,ALB33wGG5n,Albania,ALA,2008,Albania_2008,0.58,0.55,0.33,0.33,1.0,0.61,1.0,0.75,0.08,0.5,0.5,0.5,0.5,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
9,ALB33wGG5n,Albania,ALA,2009,Albania_2009,0.58,0.55,0.33,0.33,1.0,0.61,1.0,0.75,0.08,0.5,0.5,0.5,0.5,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
10,ALB33wGG5n,Albania,ALA,2010,Albania_2010,0.58,0.55,0.33,0.33,1.0,0.61,1.0,0.75,0.08,0.5,0.5,0.5,0.5,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
11,ALB33wGG5n,Albania,ALA,2011,Albania_2011,0.58,0.55,0.33,0.33,1.0,0.61,1.0,0.75,0.08,0.5,0.5,0.5,0.5,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
12,ALB33wGG5n,Albania,ALA,2012,Albania_2012,0.58,0.55,0.33,0.33,1.0,0.61,1.0,0.75,0.08,0.5,0.5,0.5,0.5,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
13,ALB33wGG5n,Albania,ALA,2013,Albania_2013,0.58,0.55,0.33,0.33,1.0,0.61,1.0,0.75,0.08,0.5,0.5,0.5,0.5,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
14,ALB33wGG5n,Albania,ALA,2014,Albania_2014,0.58,0.55,0.33,0.33,1.0,0.61,1.0,0.75,0.08,0.5,0.5,0.5,0.5,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
15,ALB33wGG5n,Albania,ALA,2015,Albania_2015,0.58,0.55,0.33,0.33,1.0,0.61,1.0,0.75,0.08,0.5,0.5,0.5,0.5,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
16,ALB33wGG5n,Albania,ALA,2016,Albania_2016,0.92,0.94,0.83,1.0,1.0,0.81,1.0,0.75,0.67,0.87,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,ALB33wGG5n,Albania,ALA,2017,Albania_2017,0.94,0.94,0.83,1.0,1.0,0.89,1.0,1.0,0.67,0.87,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,ALB33wGG5n,Albania,ALA,2018,Albania_2018,0.94,0.94,0.83,1.0,1.0,0.89,1.0,1.0,0.67,0.87,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,ALB33wGG5n,Albania,ALA,2019,Albania_2019,0.94,0.94,0.83,1.0,1.0,0.89,1.0,1.0,0.67,0.87,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,ALB33wGG5n,Albania,ALA,2020,Albania_2020,0.96,0.94,0.83,1.0,1.0,0.97,1.0,1.0,0.92,0.87,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,ALB33wGG5n,Albania,ALA,2021,Albania_2021,0.96,0.94,0.83,1.0,1.0,0.97,1.0,1.0,0.92,0.87,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,ALB33wGG5n,Albania,ALA,2022,Albania_2022,0.94,0.94,0.83,1.0,1.0,0.97,1.0,1.0,0.92,0.87,0.62,1.0,1.0,0.92,1.0,0.75,1.0,1.0,1.0,1.0,1.0
23,ARM22B68um,Armenia,ARM,2000,Armenia_2000,0.55,0.0,0.0,0.0,0.0,0.69,1.0,1.0,0.08,0.83,0.75,0.75,1.0,0.49,0.38,0.42,0.67,0.74,1.0,0.22,1.0
24,ARM22B68um,Armenia,ARM,2001,Armenia_2001,0.55,0.0,0.0,0.0,0.0,0.69,1.0,1.0,0.08,0.83,0.75,0.75,1.0,0.49,0.38,0.42,0.67,0.74,1.0,0.22,1.0
25,ARM22B68um,Armenia,ARM,2002,Armenia_2002,0.55,0.0,0.0,0.0,0.0,0.69,1.0,1.0,0.08,0.83,0.75,0.75,1.0,0.49,0.38,0.42,0.67,0.74,1.0,0.22,1.0
26,ARM22B68um,Armenia,ARM,2003,Armenia_2003,0.55,0.0,0.0,0.0,0.0,0.69,1.0,1.0,0.08,0.83,0.75,0.75,1.0,0.49,0.38,0.42,0.67,0.74,1.0,0.22,1.0
27,ARM22B68um,Armenia,ARM,2004,Armenia_2004,0.55,0.0,0.0,0.0,0.0,0.69,1.0,1.0,0.08,0.83,0.75,0.75,1.0,0.49,0.38,0.42,0.67,0.74,1.0,0.22,1.0
28,ARM22B68um,Armenia,ARM,2005,Armenia_2005,0.55,0.0,0.0,0.0,0.0,0.69,1.0,1.0,0.08,0.83,0.75,0.75,1.0,0.49,0.38,0.42,0.67,0.74,1.0,0.22,1.0
29,ARM22B68um,Armenia,ARM,2006,Armenia_2006,0.62,0.33,0.5,0.5,0.0,0.69,1.0,1.0,0.08,0.83,0.75,0.75,1.0,0.49,0.38,0.42,0.67,0.74,1.0,0.22,1.0
30,ARM22B68um,Armenia,ARM,2007,Armenia_2007,0.62,0.33,0.5,0.5,0.0,0.69,1.0,1.0,0.08,0.83,0.75,0.75,1.0,0.49,0.38,0.42,0.67,0.74,1.0,0.22,1.0
31,ARM22B68um,Armenia,ARM,2008,Armenia_2008,0.67,0.33,0.5,0.5,0.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.62,0.62,0.58,0.67,0.74,1.0,0.22,1.0
32,ARM22B68um,Armenia,ARM,2009,Armenia_2009,0.67,0.33,0.5,0.5,0.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.62,0.62,0.58,0.67,0.74,1.0,0.22,1.0
33,ARM22B68um,Armenia,ARM,2010,Armenia_2010,0.67,0.33,0.5,0.5,0.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.62,0.62,0.58,0.67,0.74,1.0,0.22,1.0
34,ARM22B68um,Armenia,ARM,2011,Armenia_2011,0.67,0.33,0.5,0.5,0.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.62,0.62,0.58,0.67,0.74,1.0,0.22,1.0
35,ARM22B68um,Armenia,ARM,2012,Armenia_2012,0.69,0.33,0.5,0.5,0.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.73,0.62,0.58,1.0,0.74,1.0,0.22,1.0
36,ARM22B68um,Armenia,ARM,2013,Armenia_2013,0.69,0.33,0.5,0.5,0.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.73,0.62,0.58,1.0,0.74,1.0,0.22,1.0
37,ARM22B68um,Armenia,ARM,2014,Armenia_2014,0.69,0.33,0.5,0.5,0.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.73,0.62,0.58,1.0,0.74,1.0,0.22,1.0
38,ARM22B68um,Armenia,ARM,2015,Armenia_2015,0.69,0.33,0.5,0.5,0.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.73,0.62,0.58,1.0,0.74,1.0,0.22,1.0
39,ARM22B68um,Armenia,ARM,2016,Armenia_2016,0.76,0.67,0.5,0.5,1.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.73,0.62,0.58,1.0,0.74,1.0,0.22,1.0
40,ARM22B68um,Armenia,ARM,2017,Armenia_2017,0.76,0.67,0.5,0.5,1.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.73,0.62,0.58,1.0,0.74,1.0,0.22,1.0
41,ARM22B68um,Armenia,ARM,2018,Armenia_2018,0.78,0.67,0.5,0.5,1.0,0.83,1.0,1.0,0.5,0.92,1.0,0.75,1.0,0.73,0.62,0.58,1.0,0.74,1.0,0.22,1.0
