,username,country,country_code,year,q2c1_apdeadlock,q2c1_apjuac,q2c1_appresid,q2c1_apsametime,q2c1_critacints,q2c1_critaclaw,q2c1_oath,q2c1_transplaw,q2c2_juabsimmun,q2c2_jubonus,q2c2_jufuncimmun,q2c2_jupension,q2c2_juremove,q2c2_jusalary,q2c2_retireage,q2c2_termacju,q2c2_termreelect,q2c3_decidediscip,q2c3_discipints,q2c3_disciplaw,q2c3_fairtrial,q2c3_immunlift,q2c3_initdiscip,q2c3_judisclos,q2c3_jurecuse,q2c3_jurestrict,q2c3_sanctscale,q2c4_acstruct,q2c4_adhoc,q2c4_apsecgen,q2c4_budget,q2c4_budgetparl,q2c4_caseassign,q2c4_caseexam,q2c4_exsecgen,q2c4_manbudget,q2c4_votmajority
23,ALB33wGG5n,Albania,ALA,2000,,0.67,0.0,1.0,0.0,1.0,1.0,0.67,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
24,ALB33wGG5n,Albania,ALA,2001,,0.67,0.0,1.0,0.0,1.0,1.0,0.67,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
25,ALB33wGG5n,Albania,ALA,2002,,0.67,0.0,1.0,0.0,1.0,1.0,0.67,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
26,ALB33wGG5n,Albania,ALA,2003,,0.67,0.0,1.0,0.0,1.0,1.0,0.67,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
27,ALB33wGG5n,Albania,ALA,2004,,0.67,0.0,1.0,0.0,1.0,1.0,0.67,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
28,ALB33wGG5n,Albania,ALA,2005,,0.67,0.0,1.0,0.0,1.0,1.0,0.67,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
29,ALB33wGG5n,Albania,ALA,2006,,0.67,0.0,1.0,0.0,1.0,1.0,0.67,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
30,ALB33wGG5n,Albania,ALA,2007,,0.67,0.0,1.0,0.0,1.0,1.0,0.67,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
31,ALB33wGG5n,Albania,ALA,2008,,0.67,0.0,1.0,0.0,1.0,1.0,0.67,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
32,ALB33wGG5n,Albania,ALA,2009,,0.33,0.0,1.0,0.0,1.0,1.0,0.67,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
