country,year,reg_type,v2x_regime,v2x_polyarchy
Sweden,2000,1.0,3.0,0.914
Sweden,2001,1.0,3.0,0.914
Sweden,2002,1.0,3.0,0.914
Sweden,2003,1.0,3.0,0.915
Sweden,2004,1.0,3.0,0.915
Sweden,2005,1.0,3.0,0.915
Sweden,2006,1.0,3.0,0.915
Sweden,2007,1.0,3.0,0.916
Sweden,2008,1.0,3.0,0.916
Sweden,2009,1.0,3.0,0.916
Sweden,2010,1.0,3.0,0.915
Sweden,2011,1.0,3.0,0.917
Sweden,2012,1.0,3.0,0.919
Sweden,2013,1.0,3.0,0.917
Sweden,2014,1.0,3.0,0.916
Sweden,2015,1.0,3.0,0.915
Sweden,2016,1.0,3.0,0.914
Sweden,2017,1.0,3.0,0.914
Sweden,2018,1.0,3.0,0.909
Sweden,2019,1.0,3.0,0.901
Sweden,2020,1.0,3.0,0.901
Sweden,2021,1.0,3.0,0.901
Sweden,2022,1.0,3.0,0.896
Switzerland,2000,1.0,3.0,0.888
Switzerland,2001,1.0,3.0,0.888
Switzerland,2002,1.0,3.0,0.888
Switzerland,2003,1.0,3.0,0.888
Switzerland,2004,1.0,3.0,0.888
Switzerland,2005,1.0,3.0,0.888
Switzerland,2006,1.0,3.0,0.888
Switzerland,2007,1.0,3.0,0.89
Switzerland,2008,1.0,3.0,0.898
Switzerland,2009,1.0,3.0,0.898
Switzerland,2010,1.0,3.0,0.898
Switzerland,2011,1.0,3.0,0.9
Switzerland,2012,1.0,3.0,0.905
Switzerland,2013,1.0,3.0,0.905
Switzerland,2014,1.0,3.0,0.905
Switzerland,2015,1.0,3.0,0.904
Switzerland,2016,1.0,3.0,0.905
Switzerland,2017,1.0,3.0,0.908
Switzerland,2018,1.0,3.0,0.908
Switzerland,2019,1.0,3.0,0.907
Switzerland,2020,1.0,3.0,0.901
Switzerland,2021,1.0,3.0,0.897
Switzerland,2022,1.0,3.0,0.897
Russia,2000,0.0,1.0,0.405
Russia,2001,0.0,1.0,0.374
